Store_Dept_Date,Weekly_Sales
10_1_2012-11-02,74575.25102781384
10_72_2012-11-02,96560.20599999999
10_71_2012-11-02,15522.75957213686
10_21_2012-11-02,9520.58181628153
10_67_2012-11-02,14403.060022385835
10_60_2012-11-02,291.39798423261993
10_59_2012-11-02,291.39798423261993
10_19_2012-11-02,2948.700756143814
10_58_2012-11-02,2893.5488067312945
10_56_2012-11-02,6084.490645377632
10_55_2012-11-02,13912.243710270315
10_34_2012-11-02,40884.95119812518
10_46_2012-11-02,56978.51838821561
10_44_2012-11-02,8955.856069458172
10_42_2012-11-02,11606.348775111435
10_41_2012-11-02,10048.326958372678
10_52_2012-11-02,4143.175680403625
10_50_2012-11-02,3086.886662584588
10_18_2012-11-02,6175.890325780561
10_38_2012-11-02,87796.76492842947
10_37_2012-11-02,4024.3122076369627
10_94_2012-11-02,790.8627193146374
10_93_2012-11-02,1483.8408272103047
10_35_2012-11-02,8992.756114130108
10_26_2012-11-02,11116.2484879257
10_12_2012-11-02,8989.847040277778
10_11_2012-11-02,32175.68022464959
10_90_2012-11-02,14541.525658088238
10_31_2012-11-02,4946.558561992913
10_87_2012-11-02,28655.507669754013
10_85_2012-11-02,2834.079222256745
10_83_2012-11-02,253.6606839657615
10_98_2012-11-02,599.4188729106238
10_97_2012-11-02,5268.574686773167
10_28_2012-11-02,1520.7326765950265
10_80_2012-11-02,450.8957061950917
10_95_2012-11-02,70571.17951788357
10_14_2012-11-02,39412.59527647265
10_25_2012-11-02,21353.967074262477
10_2_2012-11-02,98500.39091666667
10_74_2012-11-02,40328.04245727907
10_23_2012-11-02,65573.26340767632
10_22_2012-11-02,23597.441647669802
10_48_2012-11-02,1451.34395587698
10_10_2012-11-02,47850.460545857066
10_40_2012-11-02,98801.09618462704
10_20_2012-11-02,10119.489787421502
10_13_2012-11-02,62886.62640952192
10_81_2012-11-02,9267.293717855024
10_36_2012-11-02,2789.3772135313047
10_27_2012-11-02,4318.4458382763
10_54_2012-11-02,52.53389455644494
10_92_2012-11-02,51986.05050569529
10_91_2012-11-02,11302.685464661652
10_32_2012-11-02,17659.455827184785
10_49_2012-11-02,10511.959198454559
10_29_2012-11-02,14343.848666595415
10_17_2012-11-02,23068.162664150583
10_9_2012-11-02,62822.99533802839
10_16_2012-11-02,32245.170028445125
10_4_2012-11-02,51753.83724191131
10_3_2012-11-02,50044.07983730234
10_96_2012-11-02,11939.661713919146
10_24_2012-11-02,18961.393618021786
10_30_2012-11-02,11226.013463462357
10_8_2012-11-02,75730.56546462707
10_79_2012-11-02,40266.01256764331
10_7_2012-11-02,62250.37336941132
10_6_2012-11-02,7435.856869592577
10_5_2012-11-02,52238.41317335338
10_82_2012-11-02,18850.727792690413
10_33_2012-11-02,15930.593418575107
10_22_2012-11-09,23767.80448489224
10_21_2012-11-09,9649.493747571822
10_52_2012-11-09,4143.175680403625
10_67_2012-11-09,12247.30847952869
10_41_2012-11-09,13818.516980325023
10_31_2012-11-09,4053.279279941632
10_35_2012-11-09,8529.800742863501
10_46_2012-11-09,51634.11435604088
10_32_2012-11-09,11949.408771171922
10_1_2012-11-09,47823.00866405123
10_23_2012-11-09,63300.62706819859
10_72_2012-11-09,100000.0
10_71_2012-11-09,14778.809453705026
10_85_2012-11-09,2834.079222256745
10_59_2012-11-09,299.7659070670722
10_19_2012-11-09,3145.6736477070967
10_58_2012-11-09,2957.596008082154
10_55_2012-11-09,14331.264661932237
10_93_2012-11-09,1423.0007757288229
10_5_2012-11-09,48708.91715681515
10_34_2012-11-09,42281.819917471046
10_44_2012-11-09,8647.870491380094
10_33_2012-11-09,10637.480538224108
10_42_2012-11-09,11518.724664352605
10_54_2012-11-09,50.268897334222714
10_87_2012-11-09,22662.024525640354
10_56_2012-11-09,5526.3374464137205
10_60_2012-11-09,299.7659070670722
10_37_2012-11-09,3919.812493870897
10_17_2012-11-09,22236.048772295268
10_3_2012-11-09,19102.07420324972
10_16_2012-11-09,31531.542278944624
10_36_2012-11-09,2684.877499765239
10_4_2012-11-09,48224.34122537308
10_40_2012-11-09,98926.5803262937
10_2_2012-11-09,99995.73857317073
10_11_2012-11-09,30765.69773982602
10_90_2012-11-09,13828.448876408758
10_14_2012-11-09,36226.9532014532
10_50_2012-11-09,3086.886662584588
10_18_2012-11-09,6175.890325780561
10_20_2012-11-09,10248.401718711793
10_74_2012-11-09,42230.186352883604
10_95_2012-11-09,73839.02414191919
10_81_2012-11-09,9267.293717855024
10_80_2012-11-09,414.87500619509166
10_83_2012-11-09,234.37301583050422
10_8_2012-11-09,86226.33588022369
10_13_2012-11-09,63764.655029437694
10_24_2012-11-09,14437.578949561208
10_97_2012-11-09,5406.027182003364
10_96_2012-11-09,12355.685295075757
10_82_2012-11-09,18929.968214693694
10_10_2012-11-09,48688.36243983497
10_12_2012-11-09,9601.909840548262
10_91_2012-11-09,12580.235421665608
10_48_2012-11-09,1400.8883995659176
10_38_2012-11-09,84993.48238860944
10_98_2012-11-09,336.53090787432495
10_25_2012-11-09,21353.967074262477
10_9_2012-11-09,63148.373989741565
10_26_2012-11-09,11116.2484879257
10_27_2012-11-09,3804.6599695094933
10_30_2012-11-09,11226.013463462357
10_49_2012-11-09,10511.959198454559
